codigo municipio,id_provincia,nombre,slug,provincia,ccaa,lon,lat
3112,3,Relleu,relleu,Alicante/Alacant,Comunidad Valenciana,-0.3107403,38.5876586,
3113,3,Rojales,rojales,Alicante/Alacant,Comunidad Valenciana,-0.7235857,38.0860483,
3114,3,"Romana, la",romana-la,Alicante/Alacant,Comunidad Valenciana,-0.4790487,38.3728519,
3115,3,Sagra,sagra,Alicante/Alacant,Comunidad Valenciana,-0.065918,38.8107208,
3116,3,Salinas,salinas,Alicante/Alacant,Comunidad Valenciana,-0.9116263,38.5195565,
3118,3,San Fulgencio,san-fulgencio,Alicante/Alacant,Comunidad Valenciana,-0.7192428,38.1119997,
3904,3,San Isidro,san-isidro,Alicante/Alacant,Comunidad Valenciana,-0.8406461,38.1706225,
3120,3,San Miguel de Salinas,san-miguel-de-salinas,Alicante/Alacant,Comunidad Valenciana,-0.7889244,37.9784386,
3122,3,San Vicente del Raspeig/Sant Vicent del Raspeig,san-vicente-del-raspeig-sant-vicent-del-raspeig,Alicante/Alacant,Comunidad Valenciana,-0.5248711,38.3964181,
3117,3,Sanet y Negrals,sanet-y-negrals,Alicante/Alacant,Comunidad Valenciana,-0.0335282,38.8195601,
3119,3,Sant Joan d'Alacant,sant-joan-d-alacant,Alicante/Alacant,Comunidad Valenciana,-0.4360296,38.4020456,
3121,3,Santa Pola,santa-pola,Alicante/Alacant,Comunidad Valenciana,-0.5612438,38.1965614,
3123,3,Sax,sax,Alicante/Alacant,Comunidad Valenciana,-0.8210677,38.5359818,
3124,3,Sella,sella,Alicante/Alacant,Comunidad Valenciana,-0.2728618,38.6084142,
3125,3,Senija,senija,Alicante/Alacant,Comunidad Valenciana,0.0414042,38.7283019,
3127,3,Tàrbena,tarbena,Alicante/Alacant,Comunidad Valenciana,-0.102477,38.6940362,
3128,3,Teulada,teulada,Alicante/Alacant,Comunidad Valenciana,0.1044712,38.7282627,
3129,3,Tibi,tibi,Alicante/Alacant,Comunidad Valenciana,-0.5748458,38.5328478,
3130,3,Tollos,tollos,Alicante/Alacant,Comunidad Valenciana,-0.2752098,38.7571107,
3131,3,Tormos,tormos,Alicante/Alacant,Comunidad Valenciana,-0.0732168,38.8012358,
3132,3,"Torremanzanas/Torre de les Maçanes, la",torremanzanas-torre-de-les-macanes-la,Alicante/Alacant,Comunidad Valenciana,-0.4198822,38.6079809,
